"Id",Channel,XY,Z,Time,"Tags","Shape","Name",sisters Point count 3D projection
"66fd672edc5a6e178c0b920b",0,1,1,1,"neighbors","polygon","",20
"66fd6730dc5a6e178c0b920e",0,1,1,1,"neighbors","polygon","",1
"66fd6731dc5a6e178c0b9211",0,1,1,1,"neighbors","polygon","",102
"66fd6733dc5a6e178c0b9214",0,1,1,1,"neighbors","polygon","",91
"66fd6734dc5a6e178c0b9217",0,1,1,1,"neighbors","polygon","",1
"66fd6736dc5a6e178c0b921a",0,1,1,1,"neighbors","polygon","",8
"66fd6738dc5a6e178c0b921d",0,1,1,1,"neighbors","polygon","",239
"66fd6739dc5a6e178c0b9220",0,1,1,1,"neighbors","polygon","",28
"66fd673bdc5a6e178c0b9223",0,1,1,1,"neighbors","polygon","",3
"66fd673cdc5a6e178c0b9226",0,1,1,1,"neighbors","polygon","",4
"66fd673edc5a6e178c0b9229",0,1,1,1,"neighbors","polygon","",3
"66fd6740dc5a6e178c0b922c",0,1,1,1,"neighbors","polygon","",4
"66fd6741dc5a6e178c0b922f",0,1,1,1,"neighbors","polygon","",1
"66fd6743dc5a6e178c0b9232",0,1,1,1,"neighbors","polygon","",4
"66fd6744dc5a6e178c0b9235",0,1,1,1,"neighbors","polygon","",10
"66fd6746dc5a6e178c0b9238",0,1,1,1,"neighbors","polygon","",2
"66fd6747dc5a6e178c0b923b",0,1,1,1,"neighbors","polygon","",1
